mode,query,query_type,difficulty,latency,ndcg@5,ndcg@10,mrr,recall@5,recall@10,precision@5,precision@10,f1@5,f1@10,result_doc_types
Pure_Vector,how to reset the device,semantic,easy,0.4806861877441406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Pure_Vector,scan to email,keyword,easy,0.14303803443908691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Pure_Vector,print from mobile phone,semantic,medium,0.030237436294555664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Pure_Vector,connect printer to wifi network,semantic,medium,0.025327205657958984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Pure_Vector,replace toner cartridge,keyword,easy,0.026208877563476562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Pure_Vector,clean the printhead,semantic,medium,0.024367570877075195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Pure_Vector,paper jam solution,keyword,easy,0.021064281463623047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Pure_Vector,send fax to multiple recipients,semantic,hard,0.023349523544311523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Pure_Vector,factory reset printer,semantic,medium,0.021264314651489258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Pure_Vector,software update for printer,semantic,medium,0.03296017646789551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Pure_Vector,configure network settings,semantic,hard,0.029192447662353516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Pure_Vector,check ink level,keyword,easy,0.021526813507080078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Pure_Vector,duplex printing setup,semantic,medium,0.024196147918701172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Pure_Vector,scan document to USB drive,semantic,medium,0.023171186447143555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Pure_Vector,setup email notification,semantic,hard,0.019521713256835938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Pure_Vector,how to install printer driver,semantic,medium,0.02067279815673828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Pure_Vector,wireless connection setup,semantic,medium,0.014764785766601562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Pure_Vector,maintenance schedule,keyword,medium,0.015390157699584961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Pure_Vector,troubleshoot print quality,semantic,hard,0.013660907745361328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Pure_Vector,energy saving mode,keyword,easy,0.01708698272705078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Pure_Vector,how to scan multiple pages,semantic,medium,0.02207326889038086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Pure_Vector,change paper size,keyword,easy,0.020556926727294922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Pure_Vector,set up scan to network folder,semantic,hard,0.02275395393371582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Pure_Vector,firmware upgrade instructions,semantic,medium,0.021358489990234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Pure_Vector,default settings,keyword,easy,0.022109508514404297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Pure_Vector,how to use automatic document feeder,semantic,medium,0.02135920524597168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Pure_Vector,adjust print density,semantic,medium,0.019853591918945312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Pure_Vector,cancel print job,keyword,easy,0.013463258743286133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Pure_Vector,network troubleshooting guide,semantic,hard,0.013351917266845703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Pure_Vector,recommended paper types,keyword,easy,0.013915777206420898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Pure_BM25,how to reset the device,semantic,easy,0.09813547134399414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Pure_BM25,scan to email,keyword,easy,0.005257606506347656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Pure_BM25,print from mobile phone,semantic,medium,0.005209445953369141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Pure_BM25,connect printer to wifi network,semantic,medium,0.005591392517089844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Pure_BM25,replace toner cartridge,keyword,easy,0.0037822723388671875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Pure_BM25,clean the printhead,semantic,medium,0.003987550735473633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
