mode,query,query_type,difficulty,latency,ndcg@5,ndcg@10,mrr,recall@5,recall@10,precision@5,precision@10,f1@5,f1@10,relevant_count,result_doc_types
Pure_Vector,paper jam solution,keyword,easy,0.2787604331970215,0.5620437956204379,0.4808291559409294,0.5,1.0,1.25,0.8,0.5,0.888888888888889,0.7142857142857143,5.0,"[""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs""]"
Pure_Vector,how to reset the device,semantic,easy,0.17408204078674316,0.0,0.0379352391274895,0.1111111111111111,0.0,0.3333333333333333,0.0,0.1,0,0.15384615384615383,1.0,"[""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""Other""]"
Pure_Vector,scan to email,keyword,easy,0.17774748802185059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,"[""TechDocs"", ""Game"", ""TechDocs"", ""TechDocs"", ""Other"", ""Game"", ""Game"", ""TechDocs"", ""Other"", ""Game""]"
Pure_Vector,replace toner cartridge,keyword,easy,0.1647930145263672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,"[""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs""]"
Pure_Vector,connect printer to wifi network,semantic,medium,0.09998703002929688,0.21897810218978103,0.2621595989703292,0.5,0.3333333333333333,1.0,0.2,0.3,0.25,0.4615384615384615,3.0,"[""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs""]"
Pure_Vector,software update for printer,semantic,medium,0.09049272537231445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,"[""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs""]"
Pure_Vector,print from mobile phone,semantic,medium,0.09590315818786621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,"[""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs""]"
Pure_Vector,troubleshoot print quality,semantic,hard,0.05622577667236328,0.583941605839416,0.455222869529874,1.0,0.6666666666666666,0.6666666666666666,0.4,0.2,0.5,0.30769230769230765,2.0,"[""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs""]"
Pure_Vector,configure network settings,semantic,hard,0.05867600440979004,0.36496350364963503,0.28451429345617124,0.5,0.6666666666666666,0.6666666666666666,0.4,0.2,0.5,0.30769230769230765,3.0,"[""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs""]"
Pure_Vector,send fax to multiple recipients,semantic,hard,0.053658485412597656,0.8905109489051095,0.7429887549112586,1.0,1.3333333333333333,1.6666666666666667,0.8,0.5,1.0,0.7692307692307692,8.0,"[""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs""]"
