mode,query,query_type,difficulty,latency,num_results,ndcg@5,ndcg@10,mrr,result_0_id,result_1_id,result_2_id,result_3_id,result_4_id,result_0_score,result_1_score,result_2_score,result_3_score,result_4_score
Pure_Vector,how to reset the device,semantic,easy,0.4806861877441406,10,0.0,0.0,0.0,,,,,,0.6421505370252986,0.6351532926919204,0.6251285862178229,0.6222486196342967,0.6167309372877223
Pure_Vector,scan to email,keyword,easy,0.14303803443908691,10,0.0,0.0,0.0,,,,,,0.6246383114483146,0.6242506168195368,0.6191013614224188,0.6187414775239714,0.6177355608887147
Pure_Vector,print from mobile phone,semantic,medium,0.030237436294555664,10,0.0,0.0,0.0,,,,,,0.7415253466626143,0.7017987497417754,0.6901604084996046,0.6852324545715662,0.6826624583592756
Pure_Vector,connect printer to wifi network,semantic,medium,0.025327205657958984,10,0.0,0.0,0.0,,,,,,0.7850082158799545,0.7780667129935885,0.7779567988442782,0.7703856493470266,0.7703085041937356
Pure_Vector,replace toner cartridge,keyword,easy,0.026208877563476562,10,0.0,0.0,0.0,,,,,,0.6745997970235481,0.6729816971351393,0.655082894817657,0.6516420258756466,0.6513949133611657
Pure_Vector,clean the printhead,semantic,medium,0.024367570877075195,10,0.0,0.0,0.0,,,,,,0.7486265576905563,0.7359180933751227,0.7278504662031107,0.7179123785893445,0.7000340540881899
Pure_Vector,paper jam solution,keyword,easy,0.021064281463623047,10,0.0,0.0,0.0,,,,,,0.6926429545438735,0.686651977870503,0.6745590710351173,0.6731238839129214,0.6666254492919008
Pure_Vector,send fax to multiple recipients,semantic,hard,0.023349523544311523,10,0.0,0.0,0.0,,,,,,0.71742120821079,0.7090776300257058,0.6989668343319739,0.6770734547642907,0.6718526170478976
Pure_Vector,factory reset printer,semantic,medium,0.021264314651489258,10,0.0,0.0,0.0,,,,,,0.7061914985521514,0.6939474781132954,0.6921939662851376,0.6902140006114221,0.6852852840586731
Pure_Vector,software update for printer,semantic,medium,0.03296017646789551,10,0.0,0.0,0.0,,,,,,0.7360826795749668,0.6987775902075601,0.6942101274631093,0.6940662443922769,0.6925967471655017
Pure_Vector,configure network settings,semantic,hard,0.029192447662353516,10,0.0,0.0,0.0,,,,,,0.6615731539381294,0.6603486503095278,0.6491967391759437,0.6475575637373977,0.6458855403307536
Pure_Vector,check ink level,keyword,easy,0.021526813507080078,10,0.0,0.0,0.0,,,,,,0.7446749623522761,0.7254146688960511,0.6699068840621014,0.6689638502602494,0.6658651410453444
Pure_Vector,duplex printing setup,semantic,medium,0.024196147918701172,10,0.0,0.0,0.0,,,,,,0.6734480788130832,0.6722788155238508,0.6661707014138821,0.6639405235355119,0.6636800591414115
